model_name,summ_rouge1_f1,summ_rouge2_f1,summ_rougeL_f1,summ_bertscore_f1,title_rouge1_f1,title_rouge2_f1,title_rougeL_f1,title_bertscore_f1,tag_exact_match,tag_jaccard,tag_f1,type_accuracy,perplexity,avg_loss
Base (lessLayer),0.1962653142170026,0.06799250704925343,0.1273111559028906,0.8210812211036682,0.09342061581642631,0.020046572031992102,0.07204105016466293,0.8142949938774109,0.0,0.0006493506493506494,0.0012121212121212121,0.0,133.02733283128381,4.890554617117117
Fine-tuned (lessLayer),0.4103997164530703,0.2625112697629632,0.3384507923191615,0.878913938999176,0.4125334399711042,0.22620665685692223,0.3467573464171902,0.8877837657928467,0.19090909090909092,0.39773061905414847,0.47662045025681393,0.8796296296296297,5.709970707279294,1.7422138935810811
Base (stretch),0.25669805871418905,0.11111654140243751,0.16719403197776492,0.8438302874565125,0.14962750385864906,0.05103522156731847,0.12161175168013143,0.8345499038696289,0.0,0.0006993006993006993,0.001298701298701299,0.0,52.685224677945676,3.964335049594845
Fine-tuned (stretch),0.4427996240185365,0.3097345305203553,0.37859171260415714,0.890649676322937,0.41214701900234113,0.23647689982368106,0.35446578931358935,0.8899283409118652,0.15454545454545454,0.38937167630349456,0.47979374903171695,0.8888888888888888,5.402335513741113,1.6868313626126126
